id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Digital Pulse,Synthwave Labs,electronic,energetic,0.88,128,0.72,0.85,0.08
12,Street Wisdom,MC Fresh,hip-hop,aggressive,0.85,96,0.45,0.72,0.15
13,Morning Dew,Folk Wanderer,folk,melancholic,0.32,88,0.41,0.48,0.94
14,Moonlight Sonata,Classico Ensemble,classical,mellow,0.25,72,0.68,0.35,0.97
15,Thunderstorm,Iron Anvil,metal,aggressive,0.95,160,0.35,0.62,0.05
16,Neon Void,Shadow Artists,alternative,dark,0.68,102,0.38,0.64,0.28
17,Blues at Midnight,Delta Soul,blues,nostalgic,0.45,85,0.52,0.59,0.88
18,Island Vibes,Reggae Kings,reggae,smooth,0.62,92,0.75,0.68,0.72
19,Sunset Drive,Country Legends,country,uplifting,0.58,104,0.79,0.72,0.82
20,Soul Journey,Soul Singers,soul,smooth,0.52,94,0.71,0.64,0.76
21,Neon Nights,Synth Wave Master,synth-pop,dreamy,0.72,115,0.68,0.70,0.18
22,Jungle Beats,Funk Alliance,funk,playful,0.89,125,0.82,0.88,0.15
23,Void Explorer,Dark Matter,experimental,mysterious,0.55,95,0.35,0.45,0.65
24,Sunset Horizon,Indie Dreams,indie rock,melancholic,0.48,88,0.42,0.52,0.72
25,Pulse Electric,Neon Glow,house,energetic,0.91,130,0.78,0.92,0.08
26,Medieval Times,Folk Heritage,medieval,nostalgic,0.32,75,0.58,0.35,0.89
27,Gravity Pull,Space Cadets,progressive rock,epic,0.85,142,0.65,0.64,0.22
28,Ocean Wave,Wave Rider,ambient,peaceful,0.25,65,0.72,0.38,0.91
29,Disco Ball,Funky Groove,disco,playful,0.87,118,0.85,0.90,0.12
30,Cyberpunk City,Digital Void,cyberpunk,dark,0.77,108,0.32,0.68,0.25
31,Quiet Moments,Soft Piano,classical,peaceful,0.20,60,0.75,0.25,0.98
32,Dance All Night,Night Club,dance-pop,energetic,0.92,128,0.84,0.89,0.10
33,Whisper Wind,Ethereal Vocals,dream pop,ethereal,0.38,82,0.71,0.48,0.76
34,Hardcore Bass,Bass Drop,dubstep,intense,0.88,145,0.28,0.75,0.05
35,Lo-Fi Study,Study Beats,lo-fi hip-hop,focused,0.35,85,0.52,0.58,0.74
36,Trap Energy,Beat Master,trap,aggressive,0.83,140,0.41,0.71,0.12
37,Soul Serenade,Soul Voices,soul,smooth,0.58,96,0.73,0.63,0.68
38,Punk Rebellion,Punk Rock,punk,aggressive,0.90,152,0.35,0.72,0.08
39,K-Pop Glory,K-Stars,K-pop,happy,0.81,120,0.86,0.85,0.20
40,Grunge Anthem,Grunge Band,grunge,dark,0.84,138,0.30,0.61,0.18
41,Seduction,R&B Smooth,R&B,seductive,0.64,100,0.74,0.68,0.45
42,Tech House,House Producer,tech house,focused,0.79,124,0.54,0.80,0.10
43,Indie Vibes,Indie Band,indie,melancholic,0.52,98,0.48,0.56,0.62
44,Techno Underground,Techno Master,techno,intense,0.87,128,0.36,0.82,0.08
45,Pop Perfection,Pop Star,pop-rock,uplifting,0.80,116,0.81,0.83,0.25
46,Acoustic Guitar,Acoustic Artist,acoustic,relaxed,0.40,80,0.65,0.45,0.92
47,Deep House,House Vibes,deep house,chill,0.68,110,0.59,0.70,0.15
48,Ballad Story,Emotional Singer,ballad,melancholic,0.28,70,0.35,0.40,0.85
49,Afrobeats,African Rhythms,afrobeats,happy,0.86,110,0.84,0.87,0.28
50,Synthwave Neon,Synth Master,synthwave,moody,0.76,112,0.50,0.72,0.20
51,Synth-esis Complete,Electron Labs,electronic,energetic,0.87,124,0.74,0.82,0.12
52,Cello There,String Quartet,classical,mellow,0.28,76,0.70,0.38,0.96
53,A Minor Issue,Chord Progressions,classical,dark,0.35,84,0.42,0.45,0.89
54,Major Success,Pop Stars Inc,pop,uplifting,0.80,118,0.85,0.81,0.22
55,Riff Raff,Hard Rockers,rock,intense,0.89,148,0.46,0.70,0.14
56,Bass-ic Training,Hip Hop Academy,hip-hop,focused,0.78,100,0.52,0.68,0.18
57,Clef Hanger,Suspense Strings,classical,moody,0.40,88,0.58,0.42,0.91
58,Soul Searching,Soul Explorers,soul,melancholic,0.48,92,0.51,0.59,0.78
59,Funk Me Up,Funkadelics,funk,energetic,0.84,110,0.73,0.77,0.25
60,Reggae-sponds Here,Island Vibes 2,reggae,smooth,0.65,98,0.76,0.70,0.68
